correlation_spearman_esm_unit,p_value_spearman_esm_unit,go_aspect,go_thr,train_data_split,denom,tokenizer_col,tokenizer,vocab_size,token_len_thr,topic_model,max_df,min_df,top_n,top_n_strat,normal_random,epoch,lambda_smooth,alpha,beta,theta
0.21337367695840892,0.08539485307880405,molecular_function,100,undersample,1,BPE 800,BPE,800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.23725941769793915,0.05509033484057607,molecular_function,100,undersample,1,BPE 800,BPE,800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.5865149775597537,2.2804916649346167e-07,molecular_function,100,undersample,1,BPE 1600,BPE,1600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.5630518734996348,8.596275297711425e-07,molecular_function,100,undersample,1,BPE 1600,BPE,1600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.6881745120551092,1.7176845159203633e-10,molecular_function,100,undersample,1,BPE 3200,BPE,3200,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7065024527711097,3.407441686239338e-11,molecular_function,100,undersample,1,BPE 3200,BPE,3200,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.5180461329715061,8.387949220136913e-06,molecular_function,100,undersample,1,BPE 6400,BPE,6400,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.5372090595971194,3.309901516969702e-06,molecular_function,100,undersample,1,BPE 6400,BPE,6400,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.48435445151863066,3.7763935154942596e-05,molecular_function,100,undersample,1,BPE 12800,BPE,12800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.5091535330341301,1.2673205649011646e-05,molecular_function,100,undersample,1,BPE 12800,BPE,12800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.46623525728003345,7.963397075390944e-05,molecular_function,100,undersample,1,BPE 25600,BPE,25600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.48786139233900433,3.252588307056735e-05,molecular_function,100,undersample,1,BPE 25600,BPE,25600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.4373447448074314,0.00024076626896047486,molecular_function,100,undersample,1,BPE 51200,BPE,51200,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.44615384615384623,0.00017362045681661083,molecular_function,100,undersample,1,BPE 51200,BPE,51200,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.4229829871620917,0.0004026954824974422,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 800,PUMA blosum45 0.7 0.05,800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.4229829871620917,0.0004026954824974422,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 800,PUMA blosum45 0.7 0.05,800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.6440037574365933,5.426999947345846e-09,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 1600,PUMA blosum45 0.7 0.05,1600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.6512681348502246,3.1971392765546526e-09,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 1600,PUMA blosum45 0.7 0.05,1600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.6473437010750445,4.262521830504462e-09,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 3200,PUMA blosum45 0.7 0.05,3200,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.6963573739693144,8.467353924420183e-11,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 3200,PUMA blosum45 0.7 0.05,3200,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.599206763385868,1.0639343231194505e-07,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 6400,PUMA blosum45 0.7 0.05,6400,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7456215426364681,6.875407387059533e-13,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 6400,PUMA blosum45 0.7 0.05,6400,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.5607974115436802,9.713331117579281e-07,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 12800,PUMA blosum45 0.7 0.05,12800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7564346101659536,2.0583174452719285e-13,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 12800,PUMA blosum45 0.7 0.05,12800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.49537626552551933,2.3488666472360477e-05,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 25600,PUMA blosum45 0.7 0.05,25600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.702995511950736,4.6875990958948335e-11,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 25600,PUMA blosum45 0.7 0.05,25600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.47170441498799714,6.385667272334187e-05,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 51200,PUMA blosum45 0.7 0.05,51200,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.6603694812650037,1.6143355220262196e-09,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.05 51200,PUMA blosum45 0.7 0.05,51200,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.3770170128379084,0.001806073827480322,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 800,PUMA blosum45 0.7 0.005,800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.3770170128379084,0.001806073827480322,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 800,PUMA blosum45 0.7 0.005,800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.5655568312284731,7.497137947118417e-07,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 1600,PUMA blosum45 0.7 0.005,1600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.5148731865149776,9.73160461085422e-06,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 1600,PUMA blosum45 0.7 0.005,1600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.6330654420206661,1.1730196107738655e-08,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 3200,PUMA blosum45 0.7 0.005,3200,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.6809518839369587,3.1469641854392476e-10,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 3200,PUMA blosum45 0.7 0.005,3200,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.6304769857008664,1.4015518989487391e-08,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 6400,PUMA blosum45 0.7 0.005,6400,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7178165118463627,1.1787388769546693e-11,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 6400,PUMA blosum45 0.7 0.005,6400,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.5579584594509969,1.1314305828023228e-06,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 12800,PUMA blosum45 0.7 0.005,12800,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7186514977559755,1.0877031151795938e-11,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 12800,PUMA blosum45 0.7 0.005,12800,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
0.531823400480117,4.3232912324913775e-06,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 25600,PUMA blosum45 0.7 0.005,25600,1,standard,0.9,1,1,all,normal,0,0.5,1,3,2
0.7209894583028913,8.671650768767659e-12,molecular_function,100,undersample,1,PUMA blosum45 0.7 0.005 25600,PUMA blosum45 0.7 0.005,25600,1,graph_aware,0.9,1,1,all,normal,0,0.5,1,3,2
